Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.3519237041473389,0.772,0.417,0.01,0.004,0.003,0.011,0.0,0.002,0.016,0.04,0.001,0.0,0.019,0.002,0.008,0.006,0.461
1.3258881568908691,0.806,0.445,0.011,0.004,0.005,0.011,0.002,0.0,0.014,0.034,0.002,0.001,0.007,0.001,0.011,0.005,0.447
1.3699541091918945,0.794,0.436,0.007,0.004,0.002,0.012,0.001,0.001,0.016,0.036,0.002,0.002,0.016,0.002,0.01,0.002,0.451
1.3585448265075684,0.804,0.462,0.014,0.005,0.002,0.005,0.0,0.0,0.018,0.037,0.001,0.0,0.011,0.003,0.005,0.003,0.434
1.4293179512023926,0.796,0.437,0.008,0.006,0.002,0.004,0.0,0.0,0.014,0.036,0.001,0.002,0.021,0.003,0.007,0.006,0.453
1.6734733581542969,0.768,0.44,0.008,0.009,0.003,0.013,0.001,0.001,0.01,0.048,0.002,0.0,0.016,0.002,0.009,0.003,0.435
1.4131240844726562,0.826,0.433,0.007,0.006,0.001,0.007,0.0,0.0,0.011,0.036,0.0,0.0,0.008,0.003,0.009,0.003,0.476
1.377169132232666,0.814,0.444,0.003,0.002,0.002,0.013,0.0,0.001,0.01,0.042,0.0,0.0,0.012,0.003,0.005,0.006,0.457
1.4345805644989014,0.782,0.451,0.005,0.004,0.001,0.01,0.0,0.0,0.017,0.041,0.001,0.0,0.02,0.003,0.01,0.002,0.435
1.2772746086120605,0.808,0.445,0.006,0.009,0.004,0.006,0.002,0.0,0.012,0.046,0.001,0.002,0.014,0.003,0.003,0.0,0.447
1.2778205871582031,0.82,0.473,0.002,0.005,0.003,0.009,0.0,0.0,0.011,0.038,0.001,0.001,0.012,0.003,0.009,0.004,0.429
1.4155364036560059,0.78,0.437,0.012,0.004,0.004,0.012,0.0,0.0,0.01,0.04,0.0,0.0,0.012,0.004,0.01,0.01,0.445
1.2759835720062256,0.816,0.437,0.007,0.008,0.003,0.006,0.0,0.0,0.005,0.04,0.001,0.0,0.011,0.002,0.009,0.006,0.465
1.2581839561462402,0.788,0.443,0.004,0.011,0.004,0.012,0.001,0.001,0.01,0.041,0.001,0.0,0.012,0.003,0.005,0.011,0.441
1.317012071609497,0.802,0.407,0.011,0.004,0.002,0.005,0.0,0.0,0.011,0.039,0.003,0.001,0.015,0.006,0.013,0.001,0.482
1.5024569034576416,0.828,0.466,0.002,0.006,0.004,0.006,0.0,0.0,0.008,0.03,0.001,0.0,0.013,0.001,0.018,0.003,0.442
1.2622761726379395,0.75,0.431,0.007,0.01,0.002,0.011,0.0,0.0,0.018,0.046,0.0,0.001,0.019,0.0,0.011,0.003,0.441
